Igandean	N	igande
,	_	,
gosaldu	VV.PTCP	gosaldu
ondoren	ADV	ondoren
itzuliko	VV.PTCP	itzuli
dira	V	izan
Iruñera	PROPN	Iruñea
,	_	,
eta	CONJ	eta
Berrioplanoko	PROPNESS	Berrioplano
El	_	El
Toro	PROPN	Toro
hotelean	N	hotel
jarraituko	VV.PTCP	jarraitu
dute	V	*edun
kontzentrazioa	NABS	kontzentrazio
,	_	,
partidua	NABS	partidu
jokatzeko	VESS	jokatu
ordua	NABS	ordu
heldu	VV.PTCP	heldu
arte	NABS	arte
.	_	.

Osasun	N	osasun
publikoan	ADJ	publiko
eta	CONJ	eta
erretiroko	NESS	erretiro
pentsioetan	N	pentsio
ere	CONJ	ere
aurreikusita	VV.PTCP	aurreikusi
dago	V	egon
oinarrizko	ADJ	oinarrizko
erreformak	NABS	erreforma
egitea	VABS	egin
.	_	.

Kurba	N	kurba
hauei	DETDAT	hauek
begiratzeak	VERG	begiratu
funtzionamendua	NABS	funtzionamendu
ulertzen	V	ulertu
lagunduko	VV.PTCP	lagundu
digu	V	*edun
.	_	.

Hala	ADV	hala
ondorioztatu	VV.PTCP	ondorioztatu
zuen	V	*edun
atzo	ADV	atzo
Eduardo	PROPN	Eduardo
Stein	PROPN	Stein
Guatemalako	PROPNESS	Guatemala
Atzerri	N	atzerri
ministro	N	ministro
ohi	ADJ	ohi
eta	CONJ	eta
OEA	NABS	ohe
Amerikako	PROPNESS	Amerika
Estatuen	NGEN	estatu
Erakundearen	NGEN	erakunde
Peruko	PROPNESS	Peru
bozetarako	NESS	boz
misioko	NESS	misio
buruzagiak	NERG	buruzagi
.	_	.

Negoziazio	N	negoziazio
horiek	DETERG	horiek
irailean	N	irail
bukatu	VV.PTCP	bukatu
beharra	NABS	behar
daukate	V	eduki
Estatu	N	estatu
palestinarraren	ADJGEN	palestinar
aldarrikapenarekin	NCOM	aldarrikapen
.	_	.

Andra	PROPN	Andra
Mari	PROPN	Mari
Zuriaren	PROPNGEN	Zuria
txapelketan	N	txapelketa
,	_	,
aldiz	CONJ	aldiz
,	_	,
finalerdietan	N	finalerdi
gurutzatuko	VV.PTCP	gurutzatu
dira	V	izan
,	_	,
lehenbizikoz	ADV	lehenbizikoz
.	_	.

Istiluak	NABS	istilu
areagotu	VV.PTCP	areagotu
egin	VV.PTCP	egin
ziren	V	izan
atzo	ADV	atzo
Israelgo	PROPNESS	Israel
Armadak	NERG	armada
eta	CONJ	eta
PANek	PROPNERG	PAN
hartutako	VV.PTCPESS	hartu
erabakia	NABS	erabaki
jakin	VV.PTCP	jakin
aurretik	N	aurre
.	_	.

Iñaki	PROPN	Iñaki
Rekarte	PROPN	Rekarte
presoak	NERG	preso
gutun	N	gutun
bat	NUM	bat
igorri	VV.PTCP	igorri
du	V	*edun
isolamenduan	N	isolamendu
jasaten	V	jasan
dituen	V	*edun
"	_	"
presio	N	presio
eta	CONJ	eta
kontrolak	NABS	kontrol
"	_	"
salatuz	VV.PTCPINS	salatu
.	_	.

Orain	ADV	orain
atseden	NABS	atseden
hartuko	VV.PTCP	hartu
dut	V	*edun
lesioa	NABS	lesio
gainditzeko	VESS	gainditu
helburuarekin	NCOM	helburu
.	_	.

Epe	N	epe
honetan	DET	hau
,	_	,
behin	ADV	behin
betiko	ADV	betiko
hitzarmen	N	hitzarmen
bat	NUM	bat
sinatu	VV.PTCP	sinatu
behar	NABS	behar
dute	V	ukan
bi	NUM	bi
aldeek	NERG	alde
,	_	,
horrela	ADV	horrela
Oslon	PROPN	Oslo
hasitako	VV.PTCPESS	hasi
prozesua	NABS	prozesu
bukatzeko	VABS	bukatu
.	_	.

Lakerseko	PROPNESS	Lakers
entrenatzaile	N	entrenatzaile
Phil	PROPN	Phil
Jackson	PROPNABS	Jackson
haserre	ADV	haserre
agertu	VV.PTCP	agertu
zen	V	izan
,	_	,
ordea	CONJ	ordea
,	_	,
bere	DETGEN	bera
ustez	NINS	uste
partidu	N	partidu
bateko	NUM	bat
zigorra	NABS	zigor
merezi	NABS	merezi
baitzuen	V	ukan
Pippenek	PROPNERG	Pippen
.	_	.

Urtea	NABS	urte
6.300	NUM	6.300
milioi	N	milioi
pezetako	N	pezeta
etekinekin	NCOM	etekin
itxiko	VV.PTCP	itxi
du	V	*edun
Vitalek	PROPNERG	Vital
.	_	.

Lan	N	lan
osoaren	ADJGEN	oso
laburtzapena	NABS	laburtzapen
ere	CONJ	ere
egina	VV.PTCPABS	egin
du	V	ukan
autoreak	NERG	autore
berak	DETERG	bera
:	_	:

PSE-EEk	PROPNERG	PSE-EE
iragarri	VV.PTCP	iragarri
duen	V	*edun
helegiteak	NERG	helegite
"	_	"
nahasmena	NABS	nahasmen
"	_	"
sortzea	VABS	sortu
du	V	ukan
helburutzat	NFRML	helburu
Egibarren	PROPNGEN	Egibar
arabera	ADP	arabera
.	_	.

Hipotesi	N	hipotesi
honen	DETGEN	hau
arabera	ADP	arabera
,	_	,
haurrak	NABS	haur
erabiltzen	V	erabili
hasten	V	hasi
diren	V	izan
gramatika-ezaugarri	N	gramatika+-+ezaugarri
eta	CONJ	eta
sintaxi-arau	N	sintaxi+-+arau
ezberdinak	ADJABS	ezberdin
garabide	N	garabide
honek	DETERG	hau
zuzendurik	VV.PTCPPRT	zuzendu
daude	V	egon
,	_	,
eta	CONJ	eta
oinarrizko	ADJ	oinarrizko
berezitasunen	NGEN	berezitasun
garapen	N	garapen
bera	DETABS	bera
edo	CONJ	edo
antzerakoa	ADJABS	antzerako
izan	VV.PTCP	izan
beharko	V	behar_izan
dute	V	*edun
.	_	.

"	_	"
Arropa	N	arropa
mota	N	mota
guztiak	DETABS	guzti
gustatzen	V	gustatu
zaizkidan	V	izan
arren	CONJ	arren
,	_	,
nahiago	NABS	nahi
ditut	V	ukan
soinekoak	NABS	soineko
"	_	"
.	_	.

"	_	"
Lortu	VV.PTCP	lortu
behar	NABS	behar
dugu	V	ukan
.	_	.

Hasiera	N	hasiera
batean	NUM	bat
ez	PART	ez
zegoen	V	egon
halako	ADJ	halako
goi	ADJ	goi
bilerarik	NPRT	bilera
aurreikusita	VV.PTCP	aurreikusi
,	_	,
baina	CONJ	baina
Israelgo	PROPNESS	Israel
agintariak	NERG	agintari
posibilitate	N	posibilitate
hori	DETABS	hori
aipatu	VV.PTCP	aipatu
zuen	V	*edun
Norvegiako	PROPNESS	Norvegia
hiriburuan	N	hiriburu
.	_	.

Ile	N	ile
beltz	ADJ	beltz
ugaria	ADJABS	ugari
txukun	ADJABS	txukun
ebakita	VV.PTCP	ebaki
eta	CONJ	eta
orraztuta	VV.PTCP	orraztu
zeraman	V	eraman
.	_	.

ez	PART	ez
zukeen	V	*edun
golik	NPRT	gol
sartuko	VV.PTCP	sartu
"	_	"
.	_	.

Ordu	N	ordu
berean	DET	bera
,	_	,
aitak	NERG	aita
,	_	,
esku	N	esku
erne	ADJ	erne
batez	NUM	bat
hartzen	V	hartu
nau	V	*edun
eta	CONJ	eta
bazterrera	N	bazter
eramaten	V	eraman
.	_	.

Jontxu	PROPNABS	Jontxu
ikusi	VV.PTCP	ikusi
zuenean	V	*edun
,	_	,
laster	ADV	laster
ezagutu	VV.PTCP	ezagutu
zuen	V	*edun
:	_	:

Egun	ADV	egun
,	_	,
lekutan	ADV	lekutan
dira	V	izan
Kalifornian	PROPN	Kalifornia
argia	NABS	argi
ikusi	VV.PTCP	ikusi
zuten	V	*edun
euskarazko	NESS	euskara
aldizkari	N	aldizkari
haiek	DETABS	haiek
:	_	:

Beraz	CONJ	beraz
,	_	,
ez	PART	ez
dauka	V	eduki
zerikusirik	NPRT	zerikusi
zerga	N	zerga
ekologikoarekin	ADJCOM	ekologiko
,	_	,
horren	DETGEN	hori
sarrerak	NABS	sarrera
gizartearen	NGEN	gizarte
aldaketa	N	aldaketa
ekologikorako	ADJABS	ekologiko
erabiliko	VV.PTCP	erabili
ziren	V	izan
eta	CONJ	eta
.	_	.

Zidane	PROPN	Zidane
,	_	,
Henry	PROPN	Henry
,	_	,
Barthez	PROPN	Barthez
,	_	,
