Igandean	DEFINANIN+ESSNSG	igande
,	_	,
gosaldu	VV.PTCP	gosaldu
ondoren	ADV	ondoren
itzuliko	PROSPVV.PTCP	itzuli
dira	ARGAB3PINDV	izan
Iruñera	PROPNSGDEFAT+ALL	Iruñea
,	_	,
eta	CONJ	eta
Berrioplanoko	PROPNESSSGDEF	Berrioplano
El	_	El
Toro	PROPN	Toro
hotelean	NDEFSGIN+ESS	hotel
jarraituko	PROSPVV.PTCP	jarraitu
dute	ARGAB3SARGER3PINDV	*edun
kontzentrazioa	NSGDEFABS	kontzentrazio
,	_	,
partidua	DEFINANNABSSG	partidu
jokatzeko	ESSV	jokatu
ordua	DEFINANNABSSG	ordu
heldu	VV.PTCP	heldu
arte	NINANINDFABS	arte
.	_	.

Osasun	N	osasun
publikoan	IN+ESSSGADJDEF	publiko
eta	CONJ	eta
erretiroko	ESSINANSGNDEF	erretiro
pentsioetan	INANIN+ESSNPLDEF	pentsio
ere	CONJ	ere
aurreikusita	VV.PTCP	aurreikusi
dago	ARGAB3SVPROGIND	egon
oinarrizko	ADJ	oinarrizko
erreformak	NABSPLDEF	erreforma
egitea	VABS	egin
.	_	.

Kurba	N	kurba
hauei	DETDEFPLDAT	hauek
begiratzeak	VERGDEFSG	begiratu
funtzionamendua	DEFABSSGN	funtzionamendu
ulertzen	VIN+ESS	ulertu
lagunduko	VPROSPV.PTCP	lagundu
digu	ARGDA1PARGER3SARGAB3SVIND	*edun
.	_	.

Hala	ADV	hala
ondorioztatu	VV.PTCPPFV	ondorioztatu
zuen	ARGAB3SARGER3SVIND	*edun
atzo	ADV	atzo
Eduardo	PROPN	Eduardo
Stein	PROPN	Stein
Guatemalako	ESSPROPNSGDEF	Guatemala
Atzerri	N	atzerri
ministro	N	ministro
ohi	ADJ	ohi
eta	CONJ	eta
OEA	NSGABSDEF	ohe
Amerikako	ESSPROPNSGDEF	Amerika
Estatuen	NGENPLDEF	estatu
Erakundearen	INANSGNGENDEF	erakunde
Peruko	ESSPROPNSGDEF	Peru
bozetarako	ESSINANNPLDEF	boz
misioko	ESSINANSGNDEF	misio
buruzagiak	SGANIMNDEFERG	buruzagi
.	_	.

Negoziazio	N	negoziazio
horiek	ERGDETDEFPL	horiek
irailean	IN+ESSSGDEFINANN	irail
bukatu	VV.PTCP	bukatu
beharra	DEFSGABSINANN	behar
daukate	ARGER3PARGAB3SPROGINDV	eduki
Estatu	N	estatu
palestinarraren	ADJSGDEFGEN	palestinar
aldarrikapenarekin	COMSGDEFN	aldarrikapen
.	_	.

Andra	PROPN	Andra
Mari	PROPN	Mari
Zuriaren	PROPNSGGENDEF	Zuria
txapelketan	INANSGIN+ESSNDEF	txapelketa
,	_	,
aldiz	CONJ	aldiz
,	_	,
finalerdietan	INANIN+ESSNPLDEF	finalerdi
gurutzatuko	VV.PTCPPROSP	gurutzatu
dira	ARGAB3PVIND	izan
,	_	,
lehenbizikoz	ADV	lehenbizikoz
.	_	.

Istiluak	INANABSNPLDEF	istilu
areagotu	VV.PTCP	areagotu
egin	VV.PTCPPFV	egin
ziren	ARGAB3PVIND	izan
atzo	ADV	atzo
Israelgo	ESSPROPNSGDEF	Israel
Armadak	NSGDEFERG	armada
eta	CONJ	eta
PANek	PROPNSGDEFERG	PAN
hartutako	ESSVV.PTCP	hartu
erabakia	NSGABSDEF	erabaki
jakin	VV.PTCP	jakin
aurretik	INANSGAT+ABLNDEF	aurre
.	_	.

Iñaki	PROPN	Iñaki
Rekarte	PROPN	Rekarte
presoak	NSGDEFERG	preso
gutun	N	gutun
bat	NUM	bat
igorri	VV.PTCPPFV	igorri
du	ARGAB3SARGER3SVIND	*edun
isolamenduan	NSGIN+ESSDEF	isolamendu
jasaten	NFINVIPFV	jasan
dituen	ARGAB3PARGER3SVIND	*edun
"	_	"
presio	N	presio
eta	CONJ	eta
kontrolak	INANABSNPLDEF	kontrol
"	_	"
salatuz	INSV.PTCPINDFV	salatu
.	_	.

Orain	ADV	orain
atseden	NINDFABS	atseden
hartuko	VV.PTCPPROSP	hartu
dut	ARGAB3SARGER1SVIND	*edun
lesioa	NSGABSDEF	lesio
gainditzeko	ESSV	gainditu
helburuarekin	INANSGNCOMDEF	helburu
.	_	.

Epe	N	epe
honetan	IN+ESSSGDEFDET	hau
,	_	,
behin	ADV	behin
betiko	ADV	betiko
hitzarmen	N	hitzarmen
bat	NUM	bat
sinatu	VV.PTCP	sinatu
behar	NINDFABS	behar
dute	ARGAB3SARGER3PVPROGIND	ukan
bi	NUM	bi
aldeek	INANNPLDEFERG	alde
,	_	,
horrela	ADV	horrela
Oslon	PROPNSGIN+ESSDEF	Oslo
hasitako	ESSVV.PTCP	hasi
prozesua	INANSGABSNDEF	prozesu
bukatzeko	INDFVABS	bukatu
.	_	.

Lakerseko	ESSPROPNSGDEF	Lakers
entrenatzaile	N	entrenatzaile
Phil	PROPN	Phil
Jackson	PROPNSGABSDEF	Jackson
haserre	ADV	haserre
agertu	VV.PTCPPFV	agertu
zen	ARGAB3SVIND	izan
,	_	,
ordea	CONJ	ordea
,	_	,
bere	SGGENDET	bera
ustez	INANNINDFINS	uste
partidu	N	partidu
bateko	NUM	bat
zigorra	INANSGABSNDEF	zigor
merezi	NINDFABS	merezi
baitzuen	V	ukan
Pippenek	PROPNSGDEFERG	Pippen
.	_	.

Urtea	DEFINANNABSSG	urte
6.300	NUM	6.300
milioi	N	milioi
pezetako	NINAN	pezeta
etekinekin	DEFINANPLNCOM	etekin
itxiko	PROSPVV.PTCP	itxi
du	ARGAB3SARGER3SINDV	*edun
Vitalek	PROPNERGSGDEF	Vital
.	_	.

Lan	N	lan
osoaren	ADJSGDEFGEN	oso
laburtzapena	DEFSGABSINANN	laburtzapen
ere	CONJ	ere
egina	SGDEFV.PTCPABSV	egin
du	ARGER3SARGAB3SPROGVIND	ukan
autoreak	DEFSGERGANIMN	autore
berak	ERGDETDEFSG	bera
:	_	:

PSE-EEk	PROPNERGSGDEF	PSE-EE
iragarri	PFVVV.PTCP	iragarri
duen	ARGAB3SARGER3SINDV	*edun
helegiteak	NERGSGDEF	helegite
"	_	"
nahasmena	DEFINANNABSSG	nahasmen
"	_	"
sortzea	VABS	sortu
du	ARGAB3SARGER3SPROGINDV	ukan
helburutzat	NFRMLINANINDF	helburu
Egibarren	PROPNGEN	Egibar
arabera	SGDEFADP	arabera
.	_	.

Hipotesi	N	hipotesi
honen	GENDET	hau
arabera	SGDEFADP	arabera
,	_	,
haurrak	NPLDEFABS	haur
erabiltzen	VIN+ESS	erabili
hasten	NFINIPFVV	hasi
diren	ARGAB3PINDV	izan
gramatika-ezaugarri	N	gramatika+-+ezaugarri
