Igandean	NSG	igande
,	_	,
gosaldu	VV.PTCP	gosaldu
ondoren	ADV	ondoren
itzuliko	VV.PTCP	itzuli
dira	V	izan
Iruñera	PROPNSG	Iruñea
,	_	,
eta	CONJ	eta
Berrioplanoko	PROPNESSSG	Berrioplano
El	_	El
Toro	PROPN	Toro
hotelean	NSG	hotel
jarraituko	VV.PTCP	jarraitu
dute	V	*edun
kontzentrazioa	NABSSG	kontzentrazio
,	_	,
partidua	NABSSG	partidu
jokatzeko	VESS	jokatu
ordua	NABSSG	ordu
heldu	VV.PTCP	heldu
arte	NABS	arte
.	_	.

Osasun	N	osasun
publikoan	ADJSG	publiko
eta	CONJ	eta
erretiroko	NESSSG	erretiro
pentsioetan	NPL	pentsio
ere	CONJ	ere
aurreikusita	VV.PTCP	aurreikusi
dago	V	egon
oinarrizko	ADJ	oinarrizko
erreformak	NABSPL	erreforma
egitea	VABS	egin
.	_	.

Kurba	N	kurba
hauei	DETDATPL	hauek
begiratzeak	VERGSG	begiratu
funtzionamendua	NABSSG	funtzionamendu
ulertzen	V	ulertu
lagunduko	VV.PTCP	lagundu
digu	V	*edun
.	_	.

Hala	ADV	hala
ondorioztatu	VV.PTCP	ondorioztatu
zuen	V	*edun
atzo	ADV	atzo
Eduardo	PROPN	Eduardo
Stein	PROPN	Stein
Guatemalako	PROPNESSSG	Guatemala
Atzerri	N	atzerri
ministro	N	ministro
ohi	ADJ	ohi
eta	CONJ	eta
OEA	NABSSG	ohe
Amerikako	PROPNESSSG	Amerika
Estatuen	NGENPL	estatu
Erakundearen	NGENSG	erakunde
Peruko	PROPNESSSG	Peru
bozetarako	NESSPL	boz
misioko	NESSSG	misio
buruzagiak	NERGSG	buruzagi
.	_	.

Negoziazio	N	negoziazio
horiek	DETERGPL	horiek
irailean	NSG	irail
bukatu	VV.PTCP	bukatu
beharra	NABSSG	behar
daukate	V	eduki
Estatu	N	estatu
palestinarraren	ADJGENSG	palestinar
aldarrikapenarekin	NCOMSG	aldarrikapen
.	_	.

Andra	PROPN	Andra
Mari	PROPN	Mari
Zuriaren	PROPNGENSG	Zuria
txapelketan	NSG	txapelketa
,	_	,
aldiz	CONJ	aldiz
,	_	,
finalerdietan	NPL	finalerdi
gurutzatuko	VV.PTCP	gurutzatu
dira	V	izan
,	_	,
lehenbizikoz	ADV	lehenbizikoz
.	_	.

Istiluak	NABSPL	istilu
areagotu	VV.PTCP	areagotu
egin	VV.PTCP	egin
ziren	V	izan
atzo	ADV	atzo
Israelgo	PROPNESSSG	Israel
Armadak	NERGSG	armada
eta	CONJ	eta
PANek	PROPNERGSG	PAN
hartutako	VV.PTCPESS	hartu
erabakia	NABSSG	erabaki
jakin	VV.PTCP	jakin
aurretik	NSG	aurre
.	_	.

Iñaki	PROPN	Iñaki
Rekarte	PROPN	Rekarte
presoak	NERGSG	preso
gutun	N	gutun
bat	NUM	bat
igorri	VV.PTCP	igorri
du	V	*edun
isolamenduan	NSG	isolamendu
jasaten	V	jasan
dituen	V	*edun
"	_	"
presio	N	presio
eta	CONJ	eta
kontrolak	NABSPL	kontrol
"	_	"
salatuz	VV.PTCPINS	salatu
.	_	.

Orain	ADV	orain
atseden	NABS	atseden
hartuko	VV.PTCP	hartu
dut	V	*edun
lesioa	NABSSG	lesio
gainditzeko	VESS	gainditu
helburuarekin	NCOMSG	helburu
.	_	.

Epe	N	epe
honetan	DETSG	hau
,	_	,
behin	ADV	behin
betiko	ADV	betiko
hitzarmen	N	hitzarmen
bat	NUM	bat
sinatu	VV.PTCP	sinatu
behar	NABS	behar
dute	V	ukan
bi	NUM	bi
aldeek	NERGPL	alde
,	_	,
horrela	ADV	horrela
Oslon	PROPNSG	Oslo
hasitako	VV.PTCPESS	hasi
prozesua	NABSSG	prozesu
bukatzeko	VABS	bukatu
.	_	.

Lakerseko	PROPNESSSG	Lakers
entrenatzaile	N	entrenatzaile
Phil	PROPN	Phil
Jackson	PROPNABSSG	Jackson
haserre	ADV	haserre
agertu	VV.PTCP	agertu
zen	V	izan
,	_	,
ordea	CONJ	ordea
,	_	,
bere	DETGENSG	bera
ustez	NINS	uste
partidu	N	partidu
bateko	NUM	bat
zigorra	NABSSG	zigor
merezi	NABS	merezi
baitzuen	V	ukan
Pippenek	PROPNERGSG	Pippen
.	_	.

Urtea	NABSSG	urte
6.300	NUM	6.300
milioi	N	milioi
pezetako	N	pezeta
etekinekin	NCOMPL	etekin
itxiko	VV.PTCP	itxi
du	V	*edun
Vitalek	PROPNERGSG	Vital
.	_	.

Lan	N	lan
osoaren	ADJGENSG	oso
laburtzapena	NABSSG	laburtzapen
ere	CONJ	ere
egina	VV.PTCPABSSG	egin
du	V	ukan
autoreak	NERGSG	autore
berak	DETERGSG	bera
:	_	:

PSE-EEk	PROPNERGSG	PSE-EE
iragarri	VV.PTCP	iragarri
duen	V	*edun
helegiteak	NERGSG	helegite
"	_	"
nahasmena	NABSSG	nahasmen
"	_	"
sortzea	VABS	sortu
du	V	ukan
helburutzat	NFRML	helburu
Egibarren	PROPNGEN	Egibar
arabera	ADPSG	arabera
.	_	.

Hipotesi	N	hipotesi
honen	DETGEN	hau
arabera	ADPSG	arabera
,	_	,
haurrak	NABSPL	haur
erabiltzen	V	erabili
hasten	V	hasi
diren	V	izan
gramatika-ezaugarri	N	gramatika+-+ezaugarri
eta	CONJ	eta
sintaxi-arau	N	sintaxi+-+arau
ezberdinak	ADJABSPL	ezberdin
garabide	N	garabide
honek	DETERGSG	hau
zuzendurik	VV.PTCPPRT	zuzendu
daude	V	egon
,	_	,
eta	CONJ	eta
oinarrizko	ADJ	oinarrizko
berezitasunen	NGENPL	berezitasun
garapen	N	garapen
bera	DETABSSG	bera
edo	CONJ	edo
antzerakoa	ADJABSSG	antzerako
izan	VV.PTCP	izan
beharko	V	behar_izan
dute	V	*edun
.	_	.

"	_	"
Arropa	N	arropa
mota	N	mota
guztiak	DETABSPL	guzti
gustatzen	V	gustatu
zaizkidan	V	izan
arren	CONJ	arren
,	_	,
nahiago	NABS	nahi
ditut	V	ukan
soinekoak	NABSPL	soineko
"	_	"
.	_	.

"	_	"
Lortu	VV.PTCP	lortu
behar	NABS	behar
dugu	V	ukan
.	_	.

Hasiera	N	hasiera
batean	NUM	bat
ez	PART	ez
zegoen	V	egon
halako	ADJ	halako
goi	ADJ	goi
bilerarik	NPRT	bilera
aurreikusita	VV.PTCP	aurreikusi
,	_	,
baina	CONJ	baina
Israelgo	PROPNESSSG	Israel
agintariak	NERGSG	agintari
posibilitate	N	posibilitate
hori	DETABSSG	hori
aipatu	VV.PTCP	aipatu
zuen	V	*edun
Norvegiako	PROPNESSSG	Norvegia
hiriburuan	NSG	hiriburu
.	_	.

Ile	N	ile
beltz	ADJ	beltz
ugaria	ADJABSSG	ugari
txukun	ADJABS	txukun
ebakita	VV.PTCP	ebaki
eta	CONJ	eta
orraztuta	VV.PTCP	orraztu
zeraman	V	eraman
.	_	.

ez	PART	ez
zukeen	V	*edun
golik	NPRT	gol
sartuko	VV.PTCP	sartu
"	_	"
.	_	.

Ordu	N	ordu
berean	DETSG	bera
,	_	,
aitak	NERGSG	aita
,	_	,
esku	N	esku
erne	ADJ	erne
batez	NUM	bat
hartzen	V	hartu
nau	V	*edun
eta	CONJ	eta
bazterrera	NSG	bazter
eramaten	V	eraman
.	_	.

Jontxu	PROPNABSSG	Jontxu
ikusi	VV.PTCP	ikusi
zuenean	V	*edun
,	_	,
laster	ADV	laster
ezagutu	VV.PTCP	ezagutu
zuen	V	*edun
:	_	:

Egun	ADV	egun
,	_	,
lekutan	ADV	lekutan
dira	V	izan
Kalifornian	PROPNSG	Kalifornia
argia	NABSSG	argi
ikusi	VV.PTCP	ikusi
zuten	V	*edun
euskarazko	NESS	euskara
aldizkari	N	aldizkari
haiek	DETABSPL	haiek
:	_	:

Beraz	CONJ	beraz
,	_	,
ez	PART	ez
dauka	V	eduki
zerikusirik	NPRT	zerikusi
zerga	N	zerga
ekologikoarekin	ADJCOMSG	ekologiko
,	_	,
horren	DETGENSG	hori
sarrerak	NABSPL	sarrera
gizartearen	NGENSG	gizarte
aldaketa	N	aldaketa
ekologikorako	ADJABS	ekologiko
erabiliko	VV.PTCP	erabili
ziren	V	izan
eta	CONJ	eta
.	_	.

Zidane	PROPN	Zidane
,	_	,
Henry	PROPN	Henry
,	_	,
Barthez	PROPN	Barthez
,	_	,
Deschamps	PROPN	Deschamps
,	_	,
Blanc	PROPN	Blanc
eta	CONJ	eta
enparauek	ADJERGPL	enparau
Eurokopako	PROPNESSSG	Eurokopa
talde	N	talde
sendoena	ADJABSSG	sendo
osatzen	V	osatu
dute	V	*edun
aditu	N	aditu
gehienentzat	DETBENPL	gehien
.	_	.

Ordurako	ADV	ordurako
,	_	,
merke	ADV	merke
,	_	,
bapo	ADV	bapo
eta	CONJ	eta
arriskutsuki	ADV	arriskutsu+!ki
bazkaldu	VV.PTCP	bazkaldu
bazuen	V	*edun
ere	CONJ	ere
,	_	,
korroka	N	korroka
batean	NUM	bat
zeuzkan	V	eduki
tripak	NABSPL	tripa
.	_	.

Baraken	PROPNGENSG	Barak
gobernua	NABSSG	gobernu
behera	NSG	behe
botatzen	V	botatu
saiatuko	VV.PTCP	saiatu
dela	V	izan
hitza	NABSSG	hitz
eman	VV.PTCP	eman
zuen	V	*edun
atzo	ADV	atzo
Likudeko	PROPNESSSG	Likud
buruzagi	N	buruzagi
Ariel	PROPN	Ariel
Sharonek	PROPNERGSG	Sharon
:	_	:

Istripua	NABSSG	istripu
izan	VV.PTCP	izan
zuen	V	*edun
Boeing-a	NABSSG	boeing
erabat	ADV	erabat
txikitu	VV.PTCP	txikitu
eta	CONJ	eta
kiskalita	VV.PTCP	kiskali
geratu	VV.PTCP	geratu
zen	V	izan
.	_	.

"	_	"
Gaur	ADV	gaur
egun	ADV	egun
,	_	,
antzerkigintza	NABSSG	antzerkigintza
beste	DET	beste
bide	N	bide
batetik	NUM	bat
dihoa	V	joan
,	_	,
talde	N	talde
pribatuek	ADJERGPL	pribatu
komediari	NDATSG	komedia
ekiten	V	ekin
baitiote	V	*edun
"	_	"
.	_	.

Gainera	CONJ	gainera
,	_	,
krisitik	NSG	krisi
ateratzeko	VABS	atera
Ernesto	PROPN	Ernesto
Zedillo	PROPN	Zedillo
egungo	ADVESS	egun
lehendakariak	NERGSG	lehendakari
hartutako	VV.PTCPESS	hartu
neurriek	NERGPL	neurri
,	_	,
egoera	N	egoera
ekonomikoa	ADJABSSG	ekonomiko
onbideratu	VV.PTCP	onbideratu
duten	V	*edun
arren	CONJ	arren
,	_	,
areagoatu	VV.PTCP	areagoaktu
egin	VV.PTCP	egin
dute	V	*edun
aberatsen	NGENPL	aberats
eta	CONJ	eta
pobreen	NGEN	pobre
arteko	ADPESSPL	arte
jauzia	NABSSG	jauzi
.	_	.

Horretarako	DETABS	hori
,	_	,
esan	VV.PTCP	esan
zuen	V	*edun
,	_	,
alderdiak	NERGSG	alderdi
"	_	"
ahalegina	NABSSG	ahalegin
"	_	"
egin	VV.PTCP	egin
behar	NABS	behar
duela	V	ukan
"	_	"
botoa	NABSSG	boto
PSE-EEri	PROPNDATSG	PSE-EE
ematen	V	eman
ez	PART	ez
dioten	V	*edun
pertsona	N	pertsona
aurrerakoiak	ADJABSPL	aurrerakoi
"	_	"
bere	DETGENSG	bera
tesietara	NPL	tesi
inguratzeko	VABS	inguratu
.	_	.

Udaleko	NESSSG	udal
langileek	NERGPL	langile
,	_	,
bestalde	CONJ	bestalde
,	_	,
25	NUM	25
tona	N	tona
hondakin	NABS	hondakin
eraman	VV.PTCP	eraman
zituzten	V	*edun
atzo	ADV	atzo
atentatuaren	NGENSG	atentatu
lekutik	NSG	leku
.	_	.

Ospitaleak	NERGSG	ospitale
,	_	,
gaur	ADV	gaur
egun	ADV	egun
,	_	,
ospe	N	ospe
handia	ADJABSSG	handi
du	V	ukan
nazioartean	NSG	nazioarte
.	_	.

Bitartean	CONJ	bitartean
itsasontziak	NABSPL	itsasontzi
portuetan	NPL	portu
izango	VV.PTCP	izan
direla	V	izan
jakinarazi	V	jakinaraz
zuen	V	*edun
.	_	.

Zure	PRO	zu
lehen	NUM	lehen
finala	NABSSG	final
da	V	izan
Miarritzerekin	PROPNCOMSG	Miarritze
,	_	,
ez	PART	ez
zara	V	izan
lasai	ADV	lasai
egongo	VV.PTCP	egon
,	_	,
kapitaina	NABSSG	kapitain
izanda	VV.PTCP	izan
.	_	.

Bada	CONJ	bada
,	_	,
esate	N	esate
baterako	NUM	bat
,	_	,
azterketa	N	azterketa
hauetatik	DETPL	hauek
gero	ADV	gero
oinarriak	NABSPL	oinarri
finka	V	finkatu
daitezke	V	*edin
euskararen	NGENSG	euskara
ikaskuntzarako	NABS	ikaskuntza
tresna	N	tresna
informatiko	ADJ	informatiko
lagungarriak	ADJABSPL	lagungarri
diseinatu	VV.PTCP	diseinatu
eta	CONJ	eta
inplementatzeko	VABS	inplementatu
.	_	.

korapiloak	NERGSG	korapilo
estutzen	V	estutu
du	V	*edun
.	_	.

Atzeko	NESSSG	atze
koadroetan	NPL	koadro
,	_	,
Iñaki	PROPN	Iñaki
Otxandorenak	PROPNERGSG	Otxandorena
mendean	ADV	mendean
hartu	VV.PTCP	hartu
behar	NABS	behar
luke	V	ukan
Philippe	PROPN	Philippe
Hirigoien	PROPNABSSG	Hirigoien
,	_	,
baina	CONJ	baina
ez	PART	ez
da	V	izan
erregulartasuna	NABSSG	erregulartasun
Mugairekoaren	NGENSG	Mugaire
dohain	N	dohain
nagusia	ADJABSSG	nagusi
.	_	.

ONCE	PROPN	ONCE
taldean	NSG	talde
egin	VV.PTCP	egin
dituzun	V	*edun
urteen	NGENPL	urte
balorazioa	NABSSG	balorazio
ona	ADJABSSG	on
da	V	izan
,	_	,
ezta	_	ezta
?	_	?

RINGARYD	PROPNABSSG	Ringaryd
ekaitz	N	ekaitz
gogor	ADJ	gogor
baten	NUM	bat
pean	ADPSG	_
izan	VV.PTCP	izan
zen	V	izan
arratsalde	N	arratsalde
osoan	ADJSG	oso
.	_	.

horrek	DETERGSG	hori
kili-kolo	ADV	kili-kolo
jarriko	VV.PTCP	jarri
luke	V	*edun
estatu	N	estatu
desberdinetako	ADJESSPL	desberdin
oinarrizko	ADJ	oinarrizko
tradizio	N	tradizio
sozialen	ADJGEN	sozial
artean	ADPPL	arte
ozta-ozta	ADV	ozta-ozta
lortutako	VV.PTCPESS	lortu
konpromisoa	NABSSG	konpromiso
.	_	.

Mutilak	NABSPL	mutil
konfiantza	N	konfiantza
handiz	ADJINS	handi
etorri	VV.PTCP	etorri
dira	V	izan
"	_	"
.	_	.

Jean	PROPN	Jean
Marie	PROPN	Marie
Poli	PROPN	Poli
Korsikako	PROPNESSSG	Korsika
Errepresioaren	NGEN	errepresio
Kontrako	ADPESSSG	_
Batzordeak	NERGSG	batzorde
azpimarratu	VV.PTCP	azpimarratu
zuen	V	*edun
,	_	,
preso	N	preso
bretoi	ADJ	bretoi
,	_	,
euskaldun	ADJ	euskaldun
eta	CONJ	eta
korsikarrak	ADJABSPL	korsikar
"	_	"
preso	N	preso
politikoak	ADJABSPL	politiko
"	_	"
direla	V	izan
eta	CONJ	eta
preso	N	preso
sozialei	ADJDATPL	sozial
baino	_	baino
lege	N	lege
"	_	"
gogorragoak	ADJABSPL	gogor
"	_	"
aplikatzen	V	aplikatu
zaizkiela	V	izan
.	_	.

Lasterketatik	N	lasterketa
landa	ADPABSSG	landa
,	_	,
rallyeko	NESSSG	rally
autoak	NABSPL	auto
Mauleko	PROPNESSSG	Maule
pilota	N	pilota
plazara	NSG	plaza
joan	VV.PTCP	joan
ziren	V	izan
,	_	,
han	ADV	han
kokatua	VV.PTCPABSSG	kokatu
baitzen	V	izan
parke	N	parke
itxitua	NABSSG	itxitu
.	_	.

Olazabalek	PROPNERGSG	Olazabal
jardunaldi	N	jardunaldi
kaxkarra	ADJABSSG	kaxkar
egin	VV.PTCP	egin
du	V	*edun
Sun	PROPN	Sun
City	PROPN	City
Torneoan	NSG	torneo
,	_	,
eta	CONJ	eta
liderrarengandik	NSG	lider
zazpi	NUM	zazpi
kolpera	NSG	kolpe
da	V	izan
.	_	.

Hasieran	NSG	hasiera
esan	VV.PTCP	esan
zen	V	izan
,	_	,
ordea	CONJ	ordea
,	_	,
urpekoaren	NGENSG	urpeko
lehen	NUM	lehen
bost	NUM	bost
gelak	NABSPL	gela
atzealdean	NSG	atzealde
zeudela	V	egon
eta	CONJ	eta
marinel	N	marinel
asko	DETABS	asko
deseginda	VV.PTCP	desegin
gertatuko	VV.PTCP	gertatu
zirela	V	izan
istripuaren	NGENSG	istripu
ondorioz	NINS	ondorio
.	_	.

Gero	ADV	gero
,	_	,
bi	NUM	bi
egun	NABS	egun
iraungo	VV.PTCP	iraun
nuke	V	*edun
.	_	.

Bi	NUM	bi
minutu	N	minutu
geroago	ADV	geroago
jokalari	N	jokalari
berak	DETERGSG	bera
23-16koa	NABSSG	23-16
ezarri	VV.PTCP	ezarri
zuen	V	*edun
.	_	.

Zaude	V	egon
lasai	ADV	lasai
.	_	.

Egun	N	egun
hauetan	DETPL	hauek
Atlantako	PROPNESSSG	Atlanta
zilarraz	NINSSG	zilar
galdetu	VV.PTCP	galdetu
diogun	V	*edun
bakoitzean	ADV	bakoitzean
hura	DETABSSG	hura
errepikatzea	VABS	errepikatu
ia	ADV	ia
ezinezkoa	ADJABSSG	ezinezko
dela	V	izan
erantzun	VV.PTCP	erantzun
du	V	*edun
Abraham	PROPN	Abraham
Olanok	PROPNERGSG	Olano
.	_	.

Herritartasuna	NABSSG	herritartasun
adierazpen	NGEN	adierazpen
bidez	ADPINS	bide
edo	CONJ	edo
lege-ordezkariaren	NGENSG	lege-ordezkari
eskariz	NINS	eskari
eskuratzen	V	eskuratu
denean	V	izan
,	_	,
baimen-erabakian	NSG	baimen-erabaki
dagokion	V	egon
auzotasun	N	auzotasun
zibila	ADJABSSG	zibil
zehaztuko	VV.PTCP	zehaztu
da	V	izan
.	_	.

Wilma	PROPNABSSG	Wilma
da	V	izan
Jojok	PROPNERGSG	Jojo
kontratua	NABSSG	kontratu
azkena	NUM	azken
luzatzen	V	luzatu
diona	VABSSG	*edun
.	_	.

Casagrandek	PROPNERGSG	Casagrande
buru	NABS	buru
jarraitzen	V	jarraitu
du	V	*edun
UCIko	PROPNESSSG	UCI
sailkapenean	NSG	sailkapen
.	_	.

Iruñeko	PROPNESSSG	Iruñea
apaizgaitegiko	NESSSG	apaizgaitegi
errektore	NABS	errektore
izan	VV.PTCP	izan
zen	V	izan
(	_	(
1945	NUM	1945
)	_	)
.	_	.

Garai	N	garai
batean	NUM	bat
,	_	,
gorpuekin	NCOM	gorpu
batera	ADPPL	bat
hilobietan	NPL	hilobi
ipinitako	VV.PTCPESS	ipini
urrea	NABSSG	urre
eta	CONJ	eta
zilarra	NABSSG	zilar
lapurtzen	V	lapurtu
zituzten	V	*edun
ebasleek	NERGPL	ebasle
.	_	.

Ekonomia	NABSSG	ekonomia
izango	VV.PTCP	izan
da	V	izan
Gobernu	N	gobernu
berriaren	ADJGENSG	berri
ardatz	N	ardatz
nagusia	ADJABSSG	nagusi
.	_	.

Munduarentzat	NBENSG	mundu
ez	PART	ez
da	V	izan
eskaintzen	V	eskaini
soluziorik	NPRT	soluzio
.	_	.

DONOSTIAKO	PROPNESSSG	Donostia
ICS	PROPN	Ics
,	_	,
Bartzelonako	PROPNESSSG	Bartzelona
Servicomex	PROPN	Servicomex
eta	CONJ	eta
Madrilgo	PROPNESSSG	Madril
Zuricenter	PROPN	Zuricenter
negozio	N	negozio
zentroek	NERGPL	zentro
aliantza	N	aliantza
bat	NUM	bat
osatu	VV.PTCP	osatu
dute	V	*edun
,	_	,
eta	CONJ	eta
zerbitzu	N	zerbitzu
sare	N	sare
bat	NUM	bat
sortu	VV.PTCP	sortu
.	_	.

Houda	PROPNABSSG	Houda
arabieraz	NINS	arabiera
idazten	V	idatzi
ikasten	V	ikasi
ari	V	ari
da	V	izan
eta	CONJ	eta
koaderno	N	koaderno
honetan	DETSG	hau
egiten	V	egin
ditu	V	*edun
eguneroko	ADJ	eguneroko
ariketak	NABSPL	ariketa
.	_	.

Dennis	PROPN	Dennis
Bergkampek	PROPNERGSG	Bergkamp
berretsi	VV.PTCP	berretsi
egin	VV.PTCP	egin
du	V	*edun
selekzioa	NABSSG	selekzio
utziko	VV.PTCP	utzi
duela	V	*edun
.	_	.

Guk	PRO	gu
oso	ADV	oso
kritika	N	kritika
zorrotza	ADJABSSG	zorrotz
egiten	V	egin
diogu	V	*edun
,	_	,
batez	NUM	bat
ere	CONJ	ere
adin	N	adin
txikikoen	NGENPL	txiki
arloari	NDATSG	arlo
"	_	"
.	_	.

Isuntza	PROPNABSSG	Isuntza
da	V	izan
faborito	ADJ	faborito
nagusia	ADJABSSG	nagusi
Elantxobeko	PROPNESSSG	Elantxobe
banderan	NSG	bandera
.	_	.

Esnatu	VV.PTCP	esnatu
orduko	ADV	orduko
esan	VV.PTCP	esan
nuen	V	*edun
:	_	:

Jontxuk	NERG	jontxu
ezin	V	ezindu
zuen	V	*edun
lorik	NPRT	lo
egin	VV.PTCP	egin
.	_	.

Gurasoek	NERGPL	guraso
eta	CONJ	eta
amonak	NERGSG	amona
Koreako	PROPNESSSG	Korea
jantzi	N	jantzi
tradizional	ADJ	tradizional
koloretsuak	ADJABSPL	koloretsu
jazten	V	jantzi
dituzte	V	*edun
.	_	.

EITBk	PROPNERGSG	EITB
eta	CONJ	eta
Ibaiak	PROPNERGSG	Ibaia
hitzarmena	NABSSG	hitzarmen
sinatu	VV.PTCP	sinatu
dute	V	*edun
.	_	.

PRI	PROPNDATSG	PR
Alderdi	N	alderdi
Instituzional	ADJ	instituzional
Iraultzailearen	ADJGENSG	iraultzaile
71	NUM	71
urteko	NESSSG	urte
nagusigoarekin	NCOMSG	nagusigo
amaitu	VV.PTCP	amaitu
ostean	ADV	ostean
,	_	,
aldaketaren	NGENSG	aldaketa
sinbolo	N	sinbolo
bihurtu	VV.PTCP	bihurtu
da	V	izan
Fox	PROPNABSSG	Fox
.	_	.

bonba	N	bonba
batek	NUM	bat
hamar	NUM	hamar
atzerritar	ADJABS	atzerritar
zauritu	VV.PTCP	zauritu
zituen	V	*edun
,	_	,
guztiak	DETABSPL	guzti
Ekialdeko	ADJ	ekialdeko
Europako	PROPNESSSG	Europa
herritarrak	NABSPL	herritar
,	_	,
alemaniera	NABSSG	alemaniera
ikastera	V	ikasi
joandakoak	VV.PTCPABSPL	joan
.	_	.

Halere	CONJ	halere
,	_	,
Mindegiari	PROPNDATSG	Mindegia
ongi	ADV	ongi
datorkio	V	etorri
lan	N	lan
hori	DETABSSG	hori
.	_	.

Argazkigintzan	NSG	argazkigintza
aritzen	V	aritu
da	V	izan
.	_	.

-	_	-
Norbaiti	PRODAT	norbait
abisua	NABSSG	abisu
pasako	VV.PTCP	pasatu
diogu	V	*edun
.	_	.

Leintz	PROPN	Leintz
Gatzagako	PROPNESSSG	Gatzaga
Udalak	NERGSG	udal
bere	DETGENSG	bera
garapen	N	garapen
planaren	NGEN	plan
barruan	ADPSG	barru
alojamendu	N	alojamendu
gune	N	gune
baten	NUM	bat
beharra	NABSSG	behar
ikusten	V	ikusi
zuen	V	*edun
.	_	.

Nire	PRO	ni
anpuluak	NERGSG	anpulu
ibai	N	ibai
bat	NUM	bat
sortu	VV.PTCP	sortu
zuen	V	*edun
eta	CONJ	eta
ibai	N	ibai
hori	DETABSSG	hori
heriotzaren	NGENSG	heriotza
itsasoan	NSG	itsaso
,	_	,
itsasoratu	VV.PTCP	itsasoratu
zen	V	izan
.	_	.

Manifestariek	NERGPL	manifestari
eskualdeko	NESSSG	eskualde
gobernadore	N	gobernadore
Jevgeni	PROPN	Jevgeni
Nazdratenkoren	PROPNGENSG	Nazdratenko
dimisioa	NABSSG	dimisio
eskatu	VV.PTCP	eskatu
zuten	V	*edun
eta	CONJ	eta
hainbat	DET	hainbat
hiritako	NESS	hiri
errepideak	NABSPL	errepide
moztu	VV.PTCP	moztu
zituzten	V	*edun
protesta	N	protesta
ekitaldietan	NPL	ekitaldi
.	_	.

Almudena	PROPN	Almudena
Cid	PROPN	Cid
gasteiztarrak	ADJERGSG	gasteiztar
bere	DETGENSG	bera
bigarren	NUM	bigarren
olinpiar	N	olinpiar
finala	NABSSG	final
jokatuko	VV.PTCP	jokatu
du	V	*edun
gaur	ADV	gaur
Sydneyn	PROPNSG	Sydney
.	_	.

Hygrocybe	N	hygrocybe
gehienak	DETABS	gehien
bezala	ADPPL	bezala
berankorra	ADJABSSG	berankor
da	V	izan
,	_	,
Azarotik	N	azaro
aurrera	ADPSG	aurrera
ernetzen	V	erne
da	V	izan
neguko	NESSSG	negu
lehenengo	NUM	lehenengo
hotzaldira	N	hotzaldi
arte	ADPABSSG	arte
,	_	,
kare-lurretan	NPL	kare-lur
eta	CONJ	eta
mendiko	NESSSG	mendi
larreetako	NESSPL	larre
belar	N	belar
artean	ADP	arte
.	_	.

"	_	"
Jokalari	N	jokalari
apartak	ADJABSPL	aparta
ditu	V	ukan
.	_	.

Carlos	PROPN	Carlos
Salinasek	PROPNERGSG	Salinas
(	_	(
1988-1994	NUM	1988-1994
)	_	)
,	_	,
aldiz	CONJ	aldiz
,	_	,
enpresa	N	enpresa
estatal	ADJ	estatal
guztiak	DETABSPL	guzti
pribatizatu	VV.PTCP	pribatizatu
zituen	V	*edun
.	_	.

Landaretzaren	NGENSG	landaretza
espezierik	NPRT	espezie
ugarienak	ADJABSPL	ugari
,	_	,
berriz	CONJ	berriz
,	_	,
hauek	DETERGPL	hauek
dira	V	izan
:	_	:

Gaixoa	NABSSG	gaixo
lehenengotaz	NUM	lehenengo
sendatuta	VV.PTCP	sendatu
dagoela	V	egon
ikusten	V	ikusi
dutenean	V	*edun
,	_	,
alta	NABSSG	alta
ematen	V	eman
zaio	V	izan
.	_	.

Afaldu	VV.PTCP	afaldu
ondoren	ADV	ondoren
,	_	,
literetan	NPL	litera
etzan	VV.PTCP	etzan
ziren	V	izan
.	_	.

"	_	"
Ajuria	PROPN	Ajuria
Enetik	PROPNSG	Enea
beti	ADV	beti
jakin	VV.PTCP	jakin
izan	VV.PTCP	izan
dugu	V	*edun
ezberdintasun	N	ezberdintasun
politikotik	ADJSG	politiko
datozen	V	etorri
gaiak	NABSPL	gai
eta	CONJ	eta
harreman	N	harreman
instituzionalak	ADJABSPL	instituzional
banatzen	V	banatu
.	_	.

Kostunicak	PROPNERGSG	Kostunica
ez	PART	ez
zuen	V	*edun
ezer	PROABS	ezer
esan	VV.PTCP	esan
Putinen	PROPNGENSG	Putin
gonbitari	NDAT	gonbit
buruz	ADPSG	buruz
.	_	.

Mark-1	NABS	Mark-1
eraldatua	VV.PTCPABSSG	eraldatu
,	_	,
presioa	NABSSG	presio
ezabatu	VV.PTCP	ezabatu
edo	CONJ	edo
jaistea	VABS	jaitsi
