1	NUM	1
Quaffle	NSG	Quaffle
(	_	(
volleyball	NSG	volleyball
,	_	,
Frisbee	NSG	Frisbee
,	_	,
soccer	NSG	soccer
ball	NSG	ball
,	_	,
etc	_	etc
.	_	.
)	_	)

So	ADV	so
in	ADP	in
a	DET	a
way	NSG	way
people	NPL	people
often	ADV	often
do	V	do
n't	PART	n't
know	V	know
how	CONJ	how
to	PART	to
combine	V	combine
the	DET	the
two	NUM	two
fields	NPL	field
.	_	.

Everything	NSG	Everything
is	VSG	be
white	ADJ	white
and	CONJ	and
hospital-like	ADJ	hospital-like
but	CONJ	but
there	PRO	there
’s	VSG	be
no	DET	no
examining	NSG	examining
couch	NSG	couch
.	_	.

So	ADV	so
ultimately	ADV	ultimately
I	PRONOMSG	I
decided	V	decide
that	CONJ	that
eHow	PROPNSG	eHow
's	PART	's
model	NSG	model
would	V	would
not	PART	not
build	V	build
the	DET	the
resource	NSG	resource
I	PRONOMSG	I
envisioned	V	envision
.	_	.

It	PRONOMSG	it
was	VSG	be
n’t	PART	n't
as	ADV	as
loud	ADJ	loud
as	ADP	as
my	PROSG	my
heels	NPL	heel
.	_	.

Your	PRO	your
reserve	NSG	reserve
chute	NSG	chute
should	V	should
have	V	have
been	VV.PTCP	be
packed	VV.PTCP	pack
by	ADP	by
a	DET	a
certified	ADJ	certified
rigger	NSG	rigger
and	CONJ	and
is	VSG	be
moderately	ADV	moderately
less	ADV	less
likely	ADJ	likely
to	PART	to
fail	V	fail
;	_	;

This	PROSG	this
will	V	will
make	V	make
grammar	NSG	grammar
much	ADV	much
easier	ADJ	easy
to	PART	to
make	V	make
.	_	.

The	DET	the
current	ADJ	current
study	NSG	study
will	V	will
contribute	V	contribute
to	ADP	to
the	DET	the
development	NSG	development
of	ADP	of
further	ADJ	further
qualitative	ADJ	qualitative
and	CONJ	and
quantitative	ADJ	quantitative
research	NSG	research
that	PRO	that
will	V	will
more	ADV	more
clearly	ADV	clearly
define	V	define
the	DET	the
information	NSG	information
behaviors	NPL	behavior
of	ADP	of
the	DET	the
transmedia	NSG	transmedia
fan	NSG	fan
.	_	.

Dance	V	dance
to	ADP	to
the	DET	the
elevator	NSG	elevator
music	NSG	music
.	_	.

Otto	PROPNSG	Otto
Jespersen	PROPNSG	Jespersen

'	_	'
aviatio	_	aviatio
'	_	'
comes	VSG	come
from	ADP	from
English	PROPNSG	English
.	_	.

1/2	NUM	@card@
cup	NSG	cup
(	_	(
120	NUM	@card@
ml	NSG	ml
)	_	)
vegetable	NSG	vegetable
oil	NSG	oil

We	PRONOMPL	we
hypothesized	V	hypothesize
that	CONJ	that
the	DET	the
children	NPL	child
,	_	,
who	PRO	who
were	V	be
over	ADP	over
the	DET	the
age	NSG	age
of	ADP	of
six	NUM	six
at	ADP	at
the	DET	the
time	NSG	time
of	ADP	of
collection	NSG	collection
,	_	,
would	V	would
have	V	have
adult-like	ADJ	adult-like
SI	NSG	SI
interpretations	NPL	interpretation
.	_	.

Do	V	do
you	PRONOM	you
remember	V	remember
?	_	?

In	ADP	in
1891	NUM	@card@
she	PRONOMSG	she
met	V	meet
her	PROSG	her
future	ADJ	future
advisor	NSG	advisor
who	PRO	who
would	V	would
help	V	help
,	_	,
she	PRONOMSG	she
assumed	V	assume
,	_	,
this	DETSG	this
poet-turned-fiction-writer	NSG	poet-turned-fiction-writer
and	CONJ	and
connect	V	connect
her	PROACCSG	her
with	ADP	with
editors	NPL	editor
:	_	:
Tosui	PROPNSG	Tosui
Nakarai	PROPNSG	Nakarai
.	_	.

"	_	"
Barn	NSG	barn
cats	NPL	cat
"	_	"
may	V	may
not	PART	not
be	V	be
socialized	VV.PTCP	socialize
well	ADV	well
with	ADP	with
humans	NPL	human
,	_	,
although	CONJ	although
used	VV.PTCP	use
to	PART	to
hunting	VV.MSDR	hunting
mice	NPL	mouse
for	ADP	for
food	NSG	food
.	_	.

They	PRONOMPL	they
could	V	could
also	ADV	also
use	V	use
regular-length	NSG	regular-length
hockey	NSG	hockey
sticks	NPL	stick
to	PART	to
hit	V	hit
bludgers	NPL	bludgers
(	_	(
perhaps	ADV	perhaps
wiffle	NSG	wiffle
balls	NPL	ball
)	_	)
on	ADP	on
the	DET	the
ground	NSG	ground
.	_	.

Method	NSG	method
1	NUM	1
of	ADP	of
2	NUM	2
:	_	:
From	ADP	from
Seeds	NPL	Seeds

I	PRONOMSG	I
'm	V	be
like	ADJ	like
,	_	,
‘	_	'
Are	V	be
you	PRONOM	you
insane	ADJ	insane
?	_	?

The	DET	the
Independent	PROPNSG	Independent
reported	V	report
self-medicating	V.MSDRV	self-medicating
ants	NPL	ant
a	DET	a
first	ADJ	first
among	ADP	among
insects	NPL	insect
.	_	.

It	PRONOMSG	it
is	VSG	be
a	DET	a
hub	NSG	hub
for	ADP	for
American	PROPNSG	American
Airlines	PROPNPL	Airlines
and	CONJ	and
Southwest	PROPNSG	Southwest
Airlines	PROPNPL	Airlines
.	_	.

The	DET	the
history	NSG	history
of	ADP	of
values	NPL	value
is	VSG	be
okay	ADJ	okay
because	CONJ	because
wisdom	NSG	wisdom
is	VSG	be
ageless	ADJ	ageless
;	_	;
it	PRONOMSG	it
does	VSG	do
n’t	PART	n't
grow	V	grow
old	ADJ	old
,	_	,
like	ADP	like
material	NSG	material
.	_	.

Drink	V	drink
responsibly	ADV	responsibly
.	_	.

1	NUM	1
tablespoon	NSG	tablespoon
(	_	(
15	NUM	@card@
ml	NPL	ml
)	_	)
apple	NSG	apple
cider	NSG	cider
vinegar	NSG	vinegar

And	CONJ	and
having	V.MSDRV	have
one	NUM	one
of	ADP	of
those	PROPL	those
is	VSG	be
usually	ADV	usually
indicative	ADJ	indicative
of	ADP	of
arrogance	NSG	arrogance
.	_	.

Jespersen	PROPNSG	Jespersen
was	VSG	be
a	DET	a
proponent	NSG	proponent
of	ADP	of
phonosemanticism	NSG	phonosemanticism
and	CONJ	and
wrote	V	write
:	_	:

but	CONJ	but
more	ADV	more
than	ADP	than
anything	NSG	anything
,	_	,
there	PRO	there
's	VSG	be
a	DET	a
lot	NSG	lot
of	ADP	of
good	ADJ	good
feeling	NSG	feeling
around	ADP	around
here	ADV	here
.	_	.

Please	INTJ	Please
note	V	note
that	CONJ	that
if	CONJ	if
departing	V.MSDRV	depart
from	ADP	from
Europe	PROPNSG	Europe
(	_	(
this	PROSG	this
may	V	may
apply	V	apply
to	ADP	to
other	ADJ	other
countries	NPL	country
)	_	)
,	_	,
you	PRONOM	you
will	V	will
require	V	require
to	PART	to
have	V	have
the	DET	the
visa	NSG	visa
before	CONJ	before
boarding	V.MSDRV	board
the	DET	the
plane	NSG	plane
.	_	.

and	CONJ	and
...	_	...
(	_	(
how	CONJ	how
do	V	do
I	PRONOMSG	I
best	ADJ	good
explain	V	explain
this	PROSG	this
?	_	?
)	_	)

Rick	PROPNSG	Rick
Santorum	PROPNSG	Santorum
himself	PROSG	himself
has	VSG	have
acknowledged	VV.PTCP	acknowledge
and	CONJ	and
discussed	VV.PTCP	discuss
the	DET	the
existence	NSG	existence
and	CONJ	and
prevalence	NSG	prevalence
of	ADP	of
the	DET	the
santorum	NSG	santorum
neologism	NSG	neologism
phenomenon	NSG	phenomenon
;	_	;
he	PRONOMSG	he
was	VSG	be
quoted	VV.PTCP	quote
by	ADP	by
The	DET	the
Canadian	PROPNSG	Canadian
Press	PROPNSG	Press
on	ADP	on
his	PROSG	his
assessment	NSG	assessment
of	ADP	of
Google	PROPNSG	Google
's	PART	's
response	NSG	response
;	_	;

In	ADP	in
the	DET	the
1960s	NPL	1960s
Hadid	PROPNSG	Hadid
attended	V	attend
boarding	V.MSDRV	board
schools	NPL	school
in	ADP	in
England	PROPNSG	England
and	CONJ	and
Switzerland	PROPNSG	Switzerland
.	_	.

This	PROSG	this
is	VSG	be
called	VV.PTCP	call
"	_	"
bolting	V.MSDRV	bolt
"	_	"
and	CONJ	and
is	VSG	be
more	ADV	more
likely	ADJ	likely
to	PART	to
happen	V	happen
when	CONJ	when
there	PRO	there
's	VSG	be
extra	ADJ	extra
sunshine	NSG	sunshine
.	_	.

On	ADP	on
NATO	PROPNSG	NATO

I	PRONOMSG	I
do	V	do
n't	PART	n't
have	V	have
enough	ADJ	enough
information	NSG	information
to	PART	to
answer	V	answer
this	DETSG	this
question	NSG	question
,	_	,
one	NUM	one
way	NSG	way
or	CONJ	or
the	DET	the
other	ADJ	other
.	_	.

In	ADP	in
the	DET	the
past	ADJ	past
Muggle	NSG	Muggle
Quidditch	NSG	Quidditch
has	VSG	have
mainly	ADV	mainly
been	VV.PTCP	be
played	VV.PTCP	play
at	ADP	at
colleges	NPL	college
in	ADP	in
the	DET	the
US	PROPNSG	US
,	_	,
but	CONJ	but
over	ADP	over
the	DET	the
last	ADJ	last
few	ADJ	few
years	NPL	year
there	PRO	there
has	VSG	have
been	VV.PTCP	be
a	DET	a
dramatic	ADJ	dramatic
rise	NSG	rise
in	ADP	in
the	DET	the
number	NSG	number
of	ADP	of
community	NSG	community
teams	NPL	team
.	_	.

The	DET	the
sample	NSG	sample
consisted	V	consist
of	ADP	of
71	NUM	@card@
students	NPL	student
of	ADP	of
the	DET	the
Application	PROPNSG	Application
School	PROPNSG	School
of	ADP	of
Basic	PROPNSG	Basic
Education	PROPNSG	Education
,	_	,
Federal	PROPNSG	Federal
University	PROPNSG	University
of	ADP	of
Santa	PROPNSG	Santa
Catarina	PROPNSG	Catarina
,	_	,
aged	VV.PTCP	age
7	NUM	7
and	CONJ	and
9	NUM	9
years	NPL	year
old	ADJ	old
(	_	(
M	NSG	M
=	_	=
7.64	NUM	@card@
±	NSG	±
1.12	NUM	@card@
)	_	)
,	_	,
which	PRO	which
were	V	be
divided	VV.PTCP	divide
into	ADP	into
two	NUM	two
groups	NPL	group
:	_	:
participant	NSG	participant
and	CONJ	and
control	NSG	control
.	_	.

There	PRO	there
are	V	be
some	DET	some
good	ADJ	good
beaches	NPL	beach
