1	NUM	1
Quaffle	N	Quaffle
(	_	(
volleyball	N	volleyball
,	_	,
Frisbee	N	Frisbee
,	_	,
soccer	N	soccer
ball	N	ball
,	_	,
etc	_	etc
.	_	.
)	_	)

So	ADV	so
in	ADP	in
a	DET	a
way	N	way
people	N	people
often	ADV	often
do	V	do
n't	PART	n't
know	V	know
how	CONJ	how
to	PART	to
combine	V	combine
the	DET	the
two	NUM	two
fields	N	field
.	_	.

Everything	N	Everything
is	V	be
white	ADJ	white
and	CONJ	and
hospital-like	ADJ	hospital-like
but	CONJ	but
there	PRO	there
’s	V	be
no	DET	no
examining	N	examining
couch	N	couch
.	_	.

So	ADV	so
ultimately	ADV	ultimately
I	PRO	I
decided	V	decide
that	CONJ	that
eHow	PROPN	eHow
's	PART	's
model	N	model
would	V	would
not	PART	not
build	V	build
the	DET	the
resource	N	resource
I	PRO	I
envisioned	V	envision
.	_	.

It	PRO	it
was	V	be
n’t	PART	n't
as	ADV	as
loud	ADJ	loud
as	ADP	as
my	PRO	my
heels	N	heel
.	_	.

Your	PRO	your
reserve	N	reserve
chute	N	chute
should	V	should
have	V	have
been	VV.PTCP	be
packed	VV.PTCP	pack
by	ADP	by
a	DET	a
certified	ADJ	certified
rigger	N	rigger
and	CONJ	and
is	V	be
moderately	ADV	moderately
less	ADV	less
likely	ADJ	likely
to	PART	to
fail	V	fail
;	_	;

This	PRO	this
will	V	will
make	V	make
grammar	N	grammar
much	ADV	much
easier	ADJ	easy
to	PART	to
make	V	make
.	_	.

The	DET	the
current	ADJ	current
study	N	study
will	V	will
contribute	V	contribute
to	ADP	to
the	DET	the
development	N	development
of	ADP	of
further	ADJ	further
qualitative	ADJ	qualitative
and	CONJ	and
quantitative	ADJ	quantitative
research	N	research
that	PRO	that
will	V	will
more	ADV	more
clearly	ADV	clearly
define	V	define
the	DET	the
information	N	information
behaviors	N	behavior
of	ADP	of
the	DET	the
transmedia	N	transmedia
fan	N	fan
.	_	.

Dance	V	dance
to	ADP	to
the	DET	the
elevator	N	elevator
music	N	music
.	_	.

Otto	PROPN	Otto
Jespersen	PROPN	Jespersen

'	_	'
aviatio	_	aviatio
'	_	'
comes	V	come
from	ADP	from
English	PROPN	English
.	_	.

1/2	NUM	@card@
cup	N	cup
(	_	(
120	NUM	@card@
ml	N	ml
)	_	)
vegetable	N	vegetable
oil	N	oil

We	PRO	we
hypothesized	V	hypothesize
that	CONJ	that
the	DET	the
children	N	child
,	_	,
who	PRO	who
were	V	be
over	ADP	over
the	DET	the
age	N	age
of	ADP	of
six	NUM	six
at	ADP	at
the	DET	the
time	N	time
of	ADP	of
collection	N	collection
,	_	,
would	V	would
have	V	have
adult-like	ADJ	adult-like
SI	N	SI
interpretations	N	interpretation
.	_	.

Do	V	do
you	PRO	you
remember	V	remember
?	_	?

In	ADP	in
1891	NUM	@card@
she	PRO	she
met	V	meet
her	PRO	her
future	ADJ	future
advisor	N	advisor
who	PRO	who
would	V	would
help	V	help
,	_	,
she	PRO	she
assumed	V	assume
,	_	,
this	DET	this
poet-turned-fiction-writer	N	poet-turned-fiction-writer
and	CONJ	and
connect	V	connect
her	PRO	her
with	ADP	with
editors	N	editor
:	_	:
Tosui	PROPN	Tosui
Nakarai	PROPN	Nakarai
.	_	.

"	_	"
Barn	N	barn
cats	N	cat
"	_	"
may	V	may
not	PART	not
be	V	be
socialized	VV.PTCP	socialize
well	ADV	well
with	ADP	with
humans	N	human
,	_	,
although	CONJ	although
used	VV.PTCP	use
to	PART	to
hunting	VV.MSDR	hunting
mice	N	mouse
for	ADP	for
food	N	food
.	_	.

They	PRO	they
could	V	could
also	ADV	also
use	V	use
regular-length	N	regular-length
hockey	N	hockey
sticks	N	stick
to	PART	to
hit	V	hit
bludgers	N	bludgers
(	_	(
perhaps	ADV	perhaps
wiffle	N	wiffle
balls	N	ball
)	_	)
on	ADP	on
the	DET	the
ground	N	ground
.	_	.

Method	N	method
1	NUM	1
of	ADP	of
2	NUM	2
:	_	:
From	ADP	from
Seeds	N	Seeds

I	PRO	I
'm	V	be
like	ADJ	like
,	_	,
‘	_	'
Are	V	be
you	PRO	you
insane	ADJ	insane
?	_	?

The	DET	the
Independent	PROPN	Independent
reported	V	report
self-medicating	V.MSDRV	self-medicating
ants	N	ant
a	DET	a
first	ADJ	first
among	ADP	among
insects	N	insect
.	_	.

It	PRO	it
is	V	be
a	DET	a
hub	N	hub
for	ADP	for
American	PROPN	American
Airlines	PROPN	Airlines
and	CONJ	and
Southwest	PROPN	Southwest
Airlines	PROPN	Airlines
.	_	.

The	DET	the
history	N	history
of	ADP	of
values	N	value
is	V	be
okay	ADJ	okay
because	CONJ	because
wisdom	N	wisdom
is	V	be
ageless	ADJ	ageless
;	_	;
it	PRO	it
does	V	do
n’t	PART	n't
grow	V	grow
old	ADJ	old
,	_	,
like	ADP	like
material	N	material
.	_	.

Drink	V	drink
responsibly	ADV	responsibly
.	_	.

1	NUM	1
tablespoon	N	tablespoon
(	_	(
15	NUM	@card@
