Занимает	VSG	занимать
площадь	NACCFEMSG	площадь
352,658	NUMNOM	352,658
км2	NGENMASCPL	км2
.	_	.

Удобство	NNOMNEUTSG	удобство
якорей	NDATMASCPL	якорь
без	ADP	без
штока	NGENMASCSG	шток
в	ADP	в
том	PROESSNEUTSG	то
,	_	,
что	CONJ	что
они	PRONOMPL	они
втягиваются	VPL	втягиваться
в	ADP	в
клюзы	NACCMASCPL	клюз
,	_	,
не	PART	не
требуя	VV.CVB	требовать
сложных	ADJGENPL	сложный
приспособлений	NGENNEUTPL	приспособление
для	ADP	для
подъёма	NGENMASCSG	подъем
и	CONJ	и
уборки	NGENFEMSG	уборка
.	_	.

Он	PRONOMMASCSG	он
утверждал	VMASCSG	утверждать
,	_	,
что	CONJ	что
по	ADP	по
своей	DETDATFEMSG	свой
природе	NDATFEMSG	природа
вирус	NNOMMASCSG	вирус
жидкий	ADJNOMMASCSG	жидкий
.	_	.

Однако	CONJ	однако
,	_	,
продажи	NNOMFEMPL	продажа
были	VPL	быть
не	PART	не
так	ADV	так
хороши	ADJNOMPL	хороший
и	CONJ	и
альбом	NNOMMASCSG	альбом
не	PART	не
поднялся	VMASCSG	подняться
в	ADP	в
чарте	NESSMASCSG	чарт
Billboard	NESSMASCSG	billboard
200	NUMESS	200
выше	ADV	выше
163	ADJGENFEMSG	163
строчки	NGENFEMSG	строчка
.	_	.

Второй	ADJNOMMASCSG	второй
по	ADP	по
величине	NDATFEMSG	величина
остров	NNOMMASCSG	остров
,	_	,
Негит	PROPNNOMMASCSG	негит
--	_	--
также	PART	также
вулканического	ADJGENNEUTSG	вулканический
происхождения	NGENNEUTSG	происхождение
,	_	,
возник	VMASCSG	возникнуть
около	ADP	около
2000	NUMGEN	2000
лет	NGENMASCPL	год
назад	ADV	назад
.	_	.

Последняя	ADJNOMFEMSG	последний
версия	NNOMFEMSG	версия
программы	NGENFEMSG	программа
RivaTuner	PROPNGENMASCSG	rivatuner
--	_	--
v2.	NUMNOMMASC	v2.
24c	NUMNOM	24c
,	_	,
датируется	VSG	датироваться
23	ADJGENNEUTSG	23
августа	NGENMASCSG	август
2009	ADJGENMASCSG	2009
года	NGENMASCSG	год
.	_	.

В	ADP	в
2005	ADJESSMASCSG	2005
году	NESSMASCSG	год
Джо	PROPNNOMMASCSG	джо
участвовал	VMASCSG	участвовать
в	ADP	в
качестве	NESSNEUTSG	качество
приглашённого	VV.PTCPGENMASCSG	пригласить
музыканта	NGENMASCSG	музыкант
в	ADP	в
альбоме	NESSMASCSG	альбом
BlackmoreAPOSTROPHEs	PROPNGENMASCSG	blackmore's
Night	PROPNGENMASCSG	night
``	_	``
The	DETNOMMASCSG	the
Village	PROPNNOMMASCSG	village
Lanterne	PROPNNOMMASCSG	lanterne
&#39;&#39;	_	&#39;&#39;
,	_	,
исполнив	VV.CVB	исполнить
бонус	ADV	бонус
-	_	-
трек	NACCMASCSG	трек
Street	PROPNACCMASCSG	street
Of	ADP	of
Dreams	PROPNGENFEMPL	dreams
,	_	,
который	PRONOMMASCSG	который
изначально	ADV	изначально
был	VMASCSG	быть
написан	VV.PTCPNOMMASCSG	написать
им	PROINSMASCSG	он
и	CONJ	и
Блэкмором	PROPNINSMASCSG	блэкмор
ещё	ADV	еще
во	ADP	во
времена	NACCNEUTPL	время
их	DET	их
совместного	ADJGENNEUTSG	совместный
выступления	NGENNEUTSG	выступление
в	ADP	в
Rainbow	PROPNESSMASCSG	rainbow
.	_	.

И	CONJ	и
сама	ADJNOMFEMSG	сам
работа	NNOMFEMSG	работа
словно	PART	словно
сумасшедший	ADJNOMMASCSG	сумасшедший
дом	NNOMMASCSG	дом
!	_	!

Является	VSG	являться
крупнейшим	ADJINSMASCSG	крупнейший
в	ADP	в
мире	NESSMASCSG	мир
действующим	VV.PTCPINSMASCSG	действовать
православным	ADJINSMASCSG	православный
деревянный	ADJINSMASCSG	деревянный
храмом	NINSMASCSG	храм
,	_	,
построенным	VV.PTCPINSMASCSG	построить
на	ADP	на
