Занимает	V	занимать
площадь	NACCFEM	площадь
352,658	NUMNOM	352,658
км2	NGENMASC	км2
.	_	.

Удобство	NNOMNEUT	удобство
якорей	NDATMASC	якорь
без	ADP	без
штока	NGENMASC	шток
в	ADP	в
том	PROESSNEUT	то
,	_	,
что	CONJ	что
они	PRONOM	они
втягиваются	V	втягиваться
в	ADP	в
клюзы	NACCMASC	клюз
,	_	,
не	PART	не
требуя	VV.CVB	требовать
сложных	ADJGEN	сложный
приспособлений	NGENNEUT	приспособление
для	ADP	для
подъёма	NGENMASC	подъем
и	CONJ	и
уборки	NGENFEM	уборка
.	_	.

Он	PRONOMMASC	он
утверждал	VMASC	утверждать
,	_	,
что	CONJ	что
по	ADP	по
своей	DETDATFEM	свой
природе	NDATFEM	природа
вирус	NNOMMASC	вирус
жидкий	ADJNOMMASC	жидкий
.	_	.

Однако	CONJ	однако
,	_	,
продажи	NNOMFEM	продажа
были	V	быть
не	PART	не
так	ADV	так
хороши	ADJNOM	хороший
и	CONJ	и
альбом	NNOMMASC	альбом
не	PART	не
поднялся	VMASC	подняться
в	ADP	в
чарте	NESSMASC	чарт
Billboard	NESSMASC	billboard
200	NUMESS	200
выше	ADV	выше
163	ADJGENFEM	163
строчки	NGENFEM	строчка
.	_	.

Второй	ADJNOMMASC	второй
по	ADP	по
величине	NDATFEM	величина
остров	NNOMMASC	остров
,	_	,
Негит	PROPNNOMMASC	негит
--	_	--
также	PART	также
вулканического	ADJGENNEUT	вулканический
происхождения	NGENNEUT	происхождение
,	_	,
возник	VMASC	возникнуть
около	ADP	около
2000	NUMGEN	2000
лет	NGENMASC	год
назад	ADV	назад
.	_	.

Последняя	ADJNOMFEM	последний
версия	NNOMFEM	версия
программы	NGENFEM	программа
RivaTuner	PROPNGENMASC	rivatuner
--	_	--
v2.	NUMNOMMASC	v2.
24c	NUMNOM	24c
,	_	,
датируется	V	датироваться
23	ADJGENNEUT	23
августа	NGENMASC	август
2009	ADJGENMASC	2009
года	NGENMASC	год
.	_	.

В	ADP	в
2005	ADJESSMASC	2005
году	NESSMASC	год
Джо	PROPNNOMMASC	джо
участвовал	VMASC	участвовать
в	ADP	в
качестве	NESSNEUT	качество
приглашённого	VV.PTCPGENMASC	пригласить
музыканта	NGENMASC	музыкант
в	ADP	в
альбоме	NESSMASC	альбом
BlackmoreAPOSTROPHEs	PROPNGENMASC	blackmore's
Night	PROPNGENMASC	night
``	_	``
The	DETNOMMASC	the
Village	PROPNNOMMASC	village
Lanterne	PROPNNOMMASC	lanterne
&#39;&#39;	_	&#39;&#39;
,	_	,
исполнив	VV.CVB	исполнить
бонус	ADV	бонус
-	_	-
трек	NACCMASC	трек
Street	PROPNACCMASC	street
Of	ADP	of
Dreams	PROPNGENFEM	dreams
,	_	,
который	PRONOMMASC	который
изначально	ADV	изначально
был	VMASC	быть
написан	VV.PTCPNOMMASC	написать
им	PROINSMASC	он
и	CONJ	и
Блэкмором	PROPNINSMASC	блэкмор
ещё	ADV	еще
во	ADP	во
времена	NACCNEUT	время
их	DET	их
совместного	ADJGENNEUT	совместный
выступления	NGENNEUT	выступление
в	ADP	в
Rainbow	PROPNESSMASC	rainbow
.	_	.

И	CONJ	и
сама	ADJNOMFEM	сам
работа	NNOMFEM	работа
словно	PART	словно
сумасшедший	ADJNOMMASC	сумасшедший
дом	NNOMMASC	дом
!	_	!

Является	V	являться
крупнейшим	ADJINSMASC	крупнейший
в	ADP	в
мире	NESSMASC	мир
действующим	VV.PTCPINSMASC	действовать
православным	ADJINSMASC	православный
деревянный	ADJINSMASC	деревянный
храмом	NINSMASC	храм
,	_	,
построенным	VV.PTCPINSMASC	построить
на	ADP	на
вечной	ADJESSFEM	вечный
мерзлоте	NESSFEM	мерзлота
.	_	.

Андрюс	PROPNNOMMASC	андрюс
хотел	VMASC	хотеть
попасть	V	попадать
в	ADP	в
морское	ADJACCNEUT	морской
училище	NACCNEUT	училище
в	ADP	в
Ленинграде	PROPNESSMASC	ленинград
,	_	,
но	CONJ	но
был	VMASC	быть
отклонен	VV.PTCPNOMMASC	отклонить
из	ADP	из
-	_	-
за	ADP	за
близорукости	NGENFEM	близорукость
.	_	.

С	ADP	с
18	ADJGENNEUT	18
апреля	NGENMASC	апрель
по	ADP	по
15	ADJACCNEUT	15
мая	NGENMASC	май
1939	ADJGENMASC	1939
года	NGENMASC	год
совершал	VMASC	совершать
плавание	NACCNEUT	плавание
к	ADP	к
побережью	NDATNEUT	побережье
Испании	PROPNGENFEM	испания
и	CONJ	и
Марокко	PROPNGENNEUT	марокко
.	_	.

Основными	ADJINS	основной
переносчиками	NINSMASC	переносчик
Babesia	PROPNGENFEM	babesia
divergens	ADJGENFEM	divergens
являются	V	являться
клещи	NNOMMASC	клещ
видов	NGENMASC	вид
Ixodes	PROPNNOMMASC	ixodes
ricinus	ADJNOMMASC	ricinus
и	CONJ	и
Ixodes	PROPNNOMMASC	ixodes
persulcatus	ADJNOMMASC	persulcatus
.	_	.

Она	PRONOMFEM	она
пред	ADP	пред
тобою	PROINS	ты
&#39;&#39;	_	&#39;&#39;
...	_	...
``	_	``
Я	PRONOM	я
сделал	VMASC	сделать
много	NUMACC	много
тебе	PRODAT	ты
зла	NGENNEUT	зло
,	_	,
--	_	--
сказал	VMASC	сказать
он	PRONOMMASC	он
хану	NDATMASC	хан
,	_	,
--	_	--
но	CONJ	но
теперь	ADV	теперь
пришел	VMASC	прийти
принять	V	принять
от	ADP	от
тебя	PROGEN	ты
смерть	NACCFEM	смерть
или	CONJ	или
жизнь	NACCFEM	жизнь
,	_	,
будучи	VV.CVB	быть
готов	ADJNOMMASC	готовый
на	ADP	на
все	PROACCNEUT	всё
,	_	,
что	PROACCNEUT	что
Бог	NNOMMASC	бог
возвестит	V	возвестить
тебе	PRODAT	ты
&#39;&#39;	_	&#39;&#39;
.	_	.

Жених	NNOMMASC	жених
,	_	,
родители	NNOMMASC	родитель
,	_	,
близкие	ADJNOM	близкий
родственники	NNOMMASC	родственник
приезжали	V	приезжать
в	ADP	в
дом	NACCMASC	дом
невесты	NGENFEM	невеста
.	_	.

Но	CONJ	но
дивидендов	NACCMASC	дивиденд
приобретения	NNOMNEUT	приобретение
не	PART	не
принесли	V	принести
:	_	:
лишь	PART	лишь
15	ADV	15
-	_	-
е	ADJNOMNEUT	й
место	NNOMNEUT	место
в	ADP	в
сезоне	NESSMASC	сезон
1993/94	NUMNOM	1993/94
.	_	.

Летом	NINSNEUT	лето
1947	ADJGENMASC	1947
года	NGENMASC	год
на	ADP	на
сравнительных	ADJESS	сравнительный
испытаниях	NESSNEUT	испытание
по	ADP	по
бездорожью	NDATNEUT	бездорожье
американских	ADJGEN	американский
трёхосных	ADJGEN	трехосный
автомобилей	NDATMASC	автомобиль
``	_	``
Студебеккер	PROPNNOMMASC	студебеккер
&#39;&#39;	_	&#39;&#39;
,	_	,
``	_	``
Интернешнл	PROPNNOMMASC	интернешнл
&#39;&#39;	_	&#39;&#39;
,	_	,
отечественных	ADJGEN	отечественный
ЗИС	PROPNNOMMASC	зис
-	_	-
151-1	ADV	151-1
и	CONJ	и
ЗИС	PROPNNOMMASC	зис
-	_	-
151-2	ADV	151-2
,	_	,
ЗИС	PROPNNOMMASC	зис
-	_	-
151-1	ADV	151-1
на	ADP	на
автобусных	ADJESS	автобусный
шинах	NESSFEM	шина
10,5	NUMNOM	10,5
,	_	,
20	NUMNOM	20
&#39;&#39;	_	&#39;&#39;
показал	VMASC	показать
лучшую	ADJACCFEM	лучший
проходимость	NACCFEM	проходимость
и	CONJ	и
более	ADV	более
высокую	ADJACCFEM	высокий
среднюю	ADJACCFEM	средний
скорость	NACCFEM	скорость
по	ADP	по
бездорожью	NDATNEUT	бездорожье
,	_	,
кроме	ADP	кроме
движения	NGENNEUT	движение
по	ADP	по
болотистой	ADJDATFEM	болотистый
луговине	NDATFEM	луговина
.	_	.

Родился	VMASC	родиться
1	ADJGENNEUT	1
января	NGENMASC	январь
1947	ADJGENMASC	1947
в	ADP	в
Ленинграде	PROPNESSMASC	ленинград
,	_	,
РСФСР	PROPNNOMFEM	рсфср
.	_	.

Речной	ADJNOMMASC	речной
бассейн	NNOMMASC	бассейн
реки	NGENFEM	река
--	_	--
(	_	(
Верхняя	ADJNOMFEM	верхний
)	_	)
Волга	PROPNNOMFEM	волга
до	ADP	до
Куйбышевского	ADJGENNEUT	куйбышевский
