Занимает	V	занимать
площадь	N	площадь
352,658	NUM	352,658
км2	N	км2
.	_	.

Удобство	N	удобство
якорей	N	якорь
без	ADP	без
штока	N	шток
в	ADP	в
том	PRO	то
,	_	,
что	CONJ	что
они	PRO	они
втягиваются	V	втягиваться
в	ADP	в
клюзы	N	клюз
,	_	,
не	PART	не
требуя	VV.CVB	требовать
сложных	ADJ	сложный
приспособлений	N	приспособление
для	ADP	для
подъёма	N	подъем
и	CONJ	и
уборки	N	уборка
.	_	.

Он	PRO	он
утверждал	V	утверждать
,	_	,
что	CONJ	что
по	ADP	по
своей	DET	свой
природе	N	природа
вирус	N	вирус
жидкий	ADJ	жидкий
.	_	.

Однако	CONJ	однако
,	_	,
продажи	N	продажа
были	V	быть
не	PART	не
так	ADV	так
хороши	ADJ	хороший
и	CONJ	и
альбом	N	альбом
не	PART	не
поднялся	V	подняться
в	ADP	в
чарте	N	чарт
Billboard	N	billboard
200	NUM	200
выше	ADV	выше
163	ADJ	163
строчки	N	строчка
.	_	.

Второй	ADJ	второй
по	ADP	по
величине	N	величина
остров	N	остров
,	_	,
Негит	PROPN	негит
--	_	--
также	PART	также
вулканического	ADJ	вулканический
происхождения	N	происхождение
,	_	,
возник	V	возникнуть
около	ADP	около
2000	NUM	2000
лет	N	год
назад	ADV	назад
.	_	.

Последняя	ADJ	последний
версия	N	версия
программы	N	программа
RivaTuner	PROPN	rivatuner
--	_	--
v2.	NUM	v2.
24c	NUM	24c
,	_	,
датируется	V	датироваться
23	ADJ	23
августа	N	август
2009	ADJ	2009
года	N	год
.	_	.

В	ADP	в
2005	ADJ	2005
году	N	год
Джо	PROPN	джо
участвовал	V	участвовать
в	ADP	в
качестве	N	качество
приглашённого	VV.PTCP	пригласить
музыканта	N	музыкант
в	ADP	в
альбоме	N	альбом
BlackmoreAPOSTROPHEs	PROPN	blackmore's
Night	PROPN	night
``	_	``
The	DET	the
Village	PROPN	village
Lanterne	PROPN	lanterne
&#39;&#39;	_	&#39;&#39;
,	_	,
исполнив	VV.CVB	исполнить
бонус	ADV	бонус
-	_	-
трек	N	трек
Street	PROPN	street
Of	ADP	of
Dreams	PROPN	dreams
,	_	,
который	PRO	который
изначально	ADV	изначально
был	V	быть
написан	VV.PTCP	написать
им	PRO	он
и	CONJ	и
Блэкмором	PROPN	блэкмор
ещё	ADV	еще
во	ADP	во
времена	N	время
их	DET	их
совместного	ADJ	совместный
выступления	N	выступление
в	ADP	в
Rainbow	PROPN	rainbow
.	_	.

И	CONJ	и
сама	ADJ	сам
работа	N	работа
словно	PART	словно
сумасшедший	ADJ	сумасшедший
дом	N	дом
!	_	!

Является	V	являться
крупнейшим	ADJ	крупнейший
в	ADP	в
мире	N	мир
действующим	VV.PTCP	действовать
православным	ADJ	православный
деревянный	ADJ	деревянный
храмом	N	храм
,	_	,
построенным	VV.PTCP	построить
на	ADP	на
вечной	ADJ	вечный
мерзлоте	N	мерзлота
.	_	.

Андрюс	PROPN	андрюс
хотел	V	хотеть
попасть	V	попадать
в	ADP	в
морское	ADJ	морской
училище	N	училище
в	ADP	в
Ленинграде	PROPN	ленинград
,	_	,
но	CONJ	но
был	V	быть
отклонен	VV.PTCP	отклонить
из	ADP	из
-	_	-
за	ADP	за
близорукости	N	близорукость
.	_	.

С	ADP	с
18	ADJ	18
апреля	N	апрель
по	ADP	по
15	ADJ	15
мая	N	май
1939	ADJ	1939
года	N	год
совершал	V	совершать
плавание	N	плавание
к	ADP	к
побережью	N	побережье
Испании	PROPN	испания
и	CONJ	и
Марокко	PROPN	марокко
.	_	.

Основными	ADJ	основной
переносчиками	N	переносчик
Babesia	PROPN	babesia
divergens	ADJ	divergens
являются	V	являться
клещи	N	клещ
видов	N	вид
Ixodes	PROPN	ixodes
ricinus	ADJ	ricinus
и	CONJ	и
Ixodes	PROPN	ixodes
persulcatus	ADJ	persulcatus
.	_	.

Она	PRO	она
пред	ADP	пред
тобою	PRO	ты
&#39;&#39;	_	&#39;&#39;
...	_	...
``	_	``
Я	PRO	я
сделал	V	сделать
много	NUM	много
тебе	PRO	ты
зла	N	зло
,	_	,
--	_	--
сказал	V	сказать
он	PRO	он
хану	N	хан
,	_	,
--	_	--
