Занимает	↓0;d¦-→+ь
площадь	↓0;d¦
352,658	↓0;d¦
км2	↓0;d¦
.	↓0;d¦

Удобство	↓0;d¦
якорей	↓0;d¦--+ь
без	↓0;d¦
штока	↓0;d¦-
в	↓0;d¦
том	↓0;d¦-
,	↓0;d¦
что	↓0;d¦
они	↓0;d¦
втягиваются	↓0;d¦-→+ь→→
в	↓0;d¦
клюзы	↓0;d¦-
,	↓0;d¦
не	↓0;d¦
требуя	↓0;d¦--+о+в+а+т+ь
сложных	↓0;d¦-+й
приспособлений	↓0;d¦-+е
для	↓0;d¦
подъёма	↓0;d¦-+е→-
и	↓0;d¦
уборки	↓0;d¦-+а
.	↓0;d¦

Он	↓0;d¦
утверждал	↓0;d¦-+т+ь
,	↓0;d¦
что	↓0;d¦
по	↓0;d¦
своей	↓0;d¦-→
природе	↓0;d¦-+а
вирус	↓0;d¦
жидкий	↓0;d¦
.	↓0;d¦

Однако	↓0;d¦
,	↓0;d¦
продажи	↓0;d¦-+а
были	↓0;d¦--+т+ь
не	↓0;d¦
так	↓0;d¦
хороши	↓0;d¦+й
и	↓0;d¦
альбом	↓0;d¦
не	↓0;d¦
поднялся	↓0;d¦-+т+ь→→
в	↓0;d¦
чарте	↓0;d¦-
Billboard	↓0;d¦
200	↓0;d¦
выше	↓0;d¦
163	↓0;d¦
строчки	↓0;d¦-+а
.	↓0;d¦

Второй	↓0;d¦
по	↓0;d¦
величине	↓0;d¦-+а
остров	↓0;d¦
,	↓0;d¦
Негит	↓0;d¦
--	↓0;d¦
также	↓0;d¦
вулканического	↓0;d¦---+и+й
происхождения	↓0;d¦-+е
,	↓0;d¦
возник	↓0;d¦+н+у+т+ь
около	↓0;d¦
2000	↓0;d¦
лет	↓0;aгод
назад	↓0;d¦
.	↓0;d¦

Последняя	↓0;d¦--+и+й
версия	↓0;d¦
программы	↓0;d¦-+а
RivaTuner	↓0;d¦
--	↓0;d¦
v2.	↓0;d¦
24c	↓0;d¦
,	↓0;d¦
датируется	↓0;d¦--+о+в+а→+ь→→
23	↓0;d¦
августа	↓0;d¦-
2009	↓0;d¦
года	↓0;d¦-
.	↓0;d¦

В	↓0;d¦
2005	↓0;d¦
году	↓0;d¦-
Джо	↓0;d¦
участвовал	↓0;d¦-+т+ь
в	↓0;d¦
качестве	↓0;d¦-+о
приглашённого	↓0;d¦-------+с+и+т+ь
музыканта	↓0;d¦-
в	↓0;d¦
альбоме	↓0;d¦-
BlackmoreAPOSTROPHEs	↓0;d¦---+'→-------
Night	↓0;d¦
``	↓0;d¦
The	↓0;d¦
Village	↓0;d¦
