↓0¦↑1¦↓-1;a#name?
↑0¦↓1¦↑2¦↓-1;d¦
↑0¦↓1¦↑2¦↓3;d¦
↑0¦↓1¦↑-2;d¦+c+a
↑0¦↓1¦↑-3¦↓-2;d¦
↑0¦↓1¦↑3¦↓-3;d¦
↑0¦↓1;d¦
↑0¦↓1;d¦-
↑0¦↓1;d¦--
↑0¦↓1;d¦---
↑0¦↓1;d¦----
↑0¦↓1;d¦-----
↑0¦↓1;d¦------
↑0¦↓1;d¦-------
↑0¦↓1;d¦----------
↑0¦↓1;d¦--→
↑0¦↓1;d¦-→----
↑0¦↓1;d¦-→→
↑0¦↓1;d→→-¦
↑0¦↓1;d¦-+a→
↑0¦↓1;d¦-+d
↑0¦↓1;d¦--+i
↑0¦↓1;d¦--+k
↑0¦↓1;d¦-----+k
↓0¦↑2¦↓-2;d¦
↓0;a_
↓0;a2
↓0;ai
↓0;amimar
↑0;d¦
↑0;d¦---
↑0;d¦----
↑0;d¦-----
↓0;d------¦-
↓0;d----¦-
↓0;d---¦
↓0;d---¦-
↓0;d--¦
↓0;d--¦-
↓0;d--¦---
↓0;d--¦-----
↓0;d--¦------
↓0;d--¦-------
↓0;d--¦--------
↓0;d-¦
↓0;d-¦-
↓0;d-¦---
↓0;d-¦-----
↓0;d-¦------
↓0;d¦
↓0;d¦-
↓0;d¦--
↓0;d¦---
↓0;d¦----
↓0;d¦-----
↓0;d¦------
↓0;d¦-------
↓0;d¦--------
↓0;d¦---------
↓0;d¦----------
↓0;d¦-----------
↓0;d¦------------
↓0;d¦-------------
↓0;d¦--------------
↓0;d¦---------------
↓0;d¦----------------
↓0;d¦-----------------
↓0;d¦--------→-
↓0;d¦-------→--
↓0;d¦------→-
↓0;d¦------→--
↓0;d¦-----→-
↓0;d¦-----→--
↓0;d¦-----→---
↓0;d¦---→
↓0;d¦---→--
↓0;d¦---→---
↓0;d¦---→----
↓0;d¦--→
↓0;d¦--→-
↓0;d¦--→---
↓0;d¦--→----
↓0;d¦--→-----
↓0;d¦--→------
↓0;d¦--→-------
↓0;d¦-→
↓0;d¦-→-
↓0;d¦-→--
↓0;d¦-→---
↓0;d¦-→----
↓0;d¦-→-----
↓0;d¦-→------
↓0;d¦-→--------
↓0;d¦-→--→
↓0;d¦-→--→--
↓0;d¦-→-→-
↓0;d¦-→→-
↓0;d¦-→→--
↓0;d¦-→→---
↓0;d¦-→→----
↓0;d¦-→→→
↓0;d→-¦
↓0;d→-¦--
↓0;d→-¦---
↓0;d→-¦----
↓0;d→-¦-----
↓0;d→-¦------
↓0;d→-¦-------
↓0;d→-¦----------
↓0;d→→-¦---
↓0;d-+a¦--
↓0;d-+a¦----
↓0;d¦+a→→→
↓0;d¦----+a
↓0;d¦------+a
↓0;d¦-------+a
↓0;d-+â¦
↓0;d¦-+â→→
↓0;d→-+â¦---
↓0;d→→→-+â¦
↓0;d→→→-+â¦-
↓0;d-+â¦--+k
↓0;d¦--+ç
